id,cin,company_name,status,roc,company_type,incorporation_date,email,website,address,state,city,authorized_capital,paid_up_capital,company_category,company_subcategory,source_url,content_hash,scraped_at,updated_at
19,AAE-6126,PACIFIC INFRABUILD LLP,,RoC-Delhi,45,2015-08-24,jainvarun23@hotmail.com,https://www.zaubacorp.com/PACIFIC-INFRABUILD-LLP-AAE-6126,"Farm No. 10, North Drive KH No. 733/2 DLF Chatarpur New Delhi South Delhi DL 110030 IN",Delhi,Delhi South Delhi,,,,,https://www.zaubacorp.com/PACIFIC-INFRABUILD-LLP-AAE-6126,d22603ab0995330f5709638fc844acbb,2026-05-14T13:28:56.509735+00:00,2026-05-14T13:28:56.509735+00:00
20,AAF-1027,AFFAIRS EVENT MANAGEMENT LLP,,RoC-Gwalior,93,2015-10-28,apurvavohra9@gmail.com,https://www.zaubacorp.com/AFFAIRS-EVENT-MANAGEMENT-LLP-AAF-1027,P-1 Morya Palace 5/1 Diamond Colony New Palasia indore Indore MP 452001 IN,Madhya Pradesh,Indore,,,,,https://www.zaubacorp.com/AFFAIRS-EVENT-MANAGEMENT-LLP-AAF-1027,4bb629196ecce160d170b31954c23e1a,2026-05-14T13:29:05.150766+00:00,2026-05-14T13:29:05.150766+00:00
21,AAF-8155,VIPANI ONLINE SHOPPING PORTAL LLP,,RoC-Ernakulam,52,2016-02-29,vinodinkeralam@gmail.com,https://www.zaubacorp.com/VIPANI-ONLINE-SHOPPING-PORTAL-LLP-AAF-8155,"DOOR NO:13/507B-50,51, 3rd FLOOR, ""YAMUNA ARCADE"",CHALICHANKANDY PARAMBA,K ALLAI ROAD CALICUT Kozhikode KL 673002 IN",Kerala,ROAD CALICUT Kozhikode,,,,,https://www.zaubacorp.com/VIPANI-ONLINE-SHOPPING-PORTAL-LLP-AAF-8155,ab5f2054f74d9f8dedc5af21c1dca60f,2026-05-14T13:29:11.481412+00:00,2026-05-14T13:29:11.481412+00:00
22,AAF-9145,ARMADILLO REALTY LLP,,RoC-Mumbai,45,2016-03-11,hsecretarial@rediffmail.com,https://www.zaubacorp.com/ARMADILLO-REALTY-LLP-AAF-9145,"514 Dalamal Towers, 211 FPJ Marg, Nariman Point, Mumbai MUMBAI Mumbai City MH 400021 IN",Maharashtra,MUMBAI Mumbai City,,,,,https://www.zaubacorp.com/ARMADILLO-REALTY-LLP-AAF-9145,3bdaad7e3f54e1f36b7107d0125dbd2f,2026-05-14T13:29:17.427715+00:00,2026-05-14T13:29:17.427715+00:00
23,AAG-0314,AJAY AGGARWAL PROPERTIES LLP,,RoC-Delhi,70,2016-03-22,dept2007@rediffmail.com,https://www.zaubacorp.com/AJAY-AGGARWAL-PROPERTIES-LLP-AAG-0314,"LGF-10, VASANT SQUARE, PLOT-A, SECTOR-B, POCKET-V, COMMUNITY CENTRE, VASANT KUNJ NEW DELHI South West Delhi DL 110090 IN",Delhi,South West Delhi,,,,,https://www.zaubacorp.com/AJAY-AGGARWAL-PROPERTIES-LLP-AAG-0314,00a3a7aa56eb68c24be41a482a2283c4,2026-05-14T13:29:23.7763+00:00,2026-05-14T13:29:23.7763+00:00
24,AAG-4170,BEFREE BUSINESS RESOURCING LLP,,RoC-Ahmedabad,74,2016-05-20,jigneshk@befree.com.au,https://www.zaubacorp.com/BEFREE-BUSINESS-RESOURCING-LLP-AAG-4170,"SWASTIK COMPLEX, 21/22, 1ST FLOOR, TOWER CHOWK, S. T. ROAD, VERAVAL Junagadh GJ 362265 IN",Gujarat,"ROAD, VERAVAL Junagadh",,,,,https://www.zaubacorp.com/BEFREE-BUSINESS-RESOURCING-LLP-AAG-4170,532c9d9c8cec63c227b165ed75de1912,2026-05-14T13:29:31.047572+00:00,2026-05-14T13:29:31.047572+00:00
25,AAG-4332,VIRAT PROMOTERS LLP,,RoC-Delhi,70,2016-05-23,rakesh.k.gupta@hotmail.com,https://www.zaubacorp.com/VIRAT-PROMOTERS-LLP-AAG-4332,"A-68, New Friends Colony New Delhi South Delhi DL 110065 IN",Delhi,Delhi South Delhi,,,,,https://www.zaubacorp.com/VIRAT-PROMOTERS-LLP-AAG-4332,68b466a910d387db00cc08c600319195,2026-05-14T13:29:37.107875+00:00,2026-05-14T13:29:37.107875+00:00
26,AAF-2865,SRI KRISHNA FREEHOLD LLP,,,70,2015-12-08,INFO@ASIATAXZONE.COM,https://www.zaubacorp.com/SRI-KRISHNA-FREEHOLD-LLP-AAF-2865,"1/5522 PLOT NO-20,GALI NO-16,BALBIR NAGAR EXT. OPPOSITE SHIV MANDIR DELHI East Delhi DL 110032 IN",Delhi,DELHI East Delhi,,,,,https://www.zaubacorp.com/SRI-KRISHNA-FREEHOLD-LLP-AAF-2865,29afb9d30af40f2adf0d1c3f8164af82,2026-05-14T13:30:07.116262+00:00,2026-05-14T13:30:07.116262+00:00
27,AAF-1860,SOLSKEN ENERGY LLP,,RoC-Jaipur,40,2015-11-19,akshchat17@gmail.com,https://www.zaubacorp.com/SOLSKEN-ENERGY-LLP-AAF-1860,"ROOM NO. 101, PAHAL HOTEL C-4, RIICO INDUSTRIAL AREA BHIWADI Alwar RJ 301019 IN",Rajasthan,AREA BHIWADI Alwar,,,,,https://www.zaubacorp.com/SOLSKEN-ENERGY-LLP-AAF-1860,3d46a9bd8fdcc7b6c5e96c1fa7aeb71e,2026-05-14T13:30:14.797837+00:00,2026-05-14T13:30:14.797837+00:00
28,AAE-9623,REINA CONSULTING LLP,,RoC-Delhi,74,2016-01-22,aroradeepak10@gmail.com,https://www.zaubacorp.com/REINA-CONSULTING-LLP-AAE-9623,"PPJ-151 Park Place DLF City Phase -V IN, DLF Gur gaon Gurgaon Gurgaon HR 122009 IN",Haryana,Gurgaon Gurgaon,,,,,https://www.zaubacorp.com/REINA-CONSULTING-LLP-AAE-9623,fe26f2c42370cee8a8b3ba7aff086ef9,2026-05-14T13:30:28.730298+00:00,2026-05-14T13:30:28.730298+00:00
